text,label
I overthink everything lately,1
I am peaceful and focused,0
I feel nervous about tomorrow,1
My mind feels clear today,0
Deadlines make me anxious,1
I feel confident about my work,0
I feel overwhelmed by responsibilities,1
I feel calm and relaxed today,0
I feel stressed thinking about the future,1
I feel relaxed after meditation,0
I keep worrying about small things,1
I am comfortable with my schedule,0
My heart races before meetings,1
My mind keeps racing at night,1
Today feels stress free,0
I feel steady and balanced,0
I feel relaxed and happy,0
I feel tense and uneasy,1
I worry even when things are fine,1
I feel peaceful and in control,0
